t_bin,current_a,current_std,current_sigma_a,delta_f_hz,delta_f_sigma_hz,common_mode_hz,f_left_hz,f_right_hz,n
160,506.60670505,0.09502148646878232,0.19639315400000001,45494015.730000004,16717.568685,2870761353.25,2848014345.5,2893508360.75,4
161,506.5490484333333,0.05019174076219177,0.156483278,45489107.82666666,13320.321505,2870762688.3333335,2848018134.5,2893507242.3333335,6
162,506.60609853333335,0.08896645998515648,0.12127949233333334,45493964.1,10323.670669333333,2870762698.0,2848015716.0,2893509680.0,6
163,506.6981213,0.061010984636091496,0.14730770725,45501797.35,12539.26966475,2870764359.25,2848013460.5,2893515257.75,4
164,506.56728266,0.04822159740627225,0.14250064899999998,45490659.978,12130.078572,2870761956.4,2848016626.4,2893507286.6,5
165,506.6666275333334,0.1256104205152993,0.12116221199999999,45499116.51,10313.687424333333,2870762918.0,2848013359.8333335,2893512476.1666665,6
166,506.63836530000003,0.12362616972596324,0.15657511183333334,45496710.745000005,13328.138640833333,2870766391.3333335,2848018036.1666665,2893514747.0,6
167,506.60477076666666,0.12600524653246084,0.16284048933333334,45493851.07333333,13861.466190000001,2870765725.0,2848018799.3333335,2893512650.3333335,3
168,506.6911067833333,0.10303967540576411,0.12469677400000001,45501200.25666666,10614.559844166666,2870763510.8333335,2848012910.8333335,2893514111.0,6
169,506.70668720000003,0.07688153602522604,0.1716448874,45502526.506,14610.922710000003,2870763028.8,2848011765.8,2893514292.4,5
170,506.68998938000004,0.11578318351853503,0.1720979406,45501105.134,14649.487966,2870766513.2,2848015960.8,2893517065.4,5
171,506.69728687500003,0.09753451155533095,0.17895042525,45501726.322500005,15232.7917875,2870766701.75,2848015838.75,2893517565.0,4
172,506.7666441666667,0.16557741497718445,0.18039031466666666,45507630.22,15355.359466666667,2870765359.8333335,2848011544.8333335,2893519175.0,6
173,506.69581301999995,0.07155259335084675,0.1617536166,45501600.86799999,13768.948353999998,2870763364.8,2848012564.8,2893514165.4,5
174,506.6355134666667,0.10719385868713831,0.112878319,45496467.98666667,9608.537821666667,2870765270.0,2848017036.0,2893513503.8333335,6
175,506.810094425,0.1342958526330016,0.13989881975000001,45511328.8375,11908.6031295,2870761693.25,2848006028.75,2893517357.5,4
176,506.77572200000003,0.10892897374557249,0.1379875282,45508402.953999996,11745.9083,2870765147.6,2848010946.2,2893519349.2,5
177,506.7407378666667,0.08893206136843253,0.14650078166666666,45505424.99666667,12470.581725833334,2870766486.3333335,2848013773.6666665,2893519198.5,6
178,506.73938878,0.0778277427664742,0.1521335002,45505310.162,12950.05546,2870764426.4,2848011771.2,2893517081.6,5
179,506.77959565,0.10268719769392375,0.18712991825,45508732.69,15929.05454,2870767118.25,2848012752.0,2893521484.75,4
180,506.7264968833333,0.05635375022536412,0.11210399933333333,45504212.76666667,9542.625439666666,2870766184.6666665,2848014078.5,2893518291.0,6
181,506.84024139999997,0.12229579567557337,0.13166819533333332,45513895.038333334,11207.987924166666,2870764821.3333335,2848007873.8333335,2893521768.8333335,6
182,506.7324748333333,0.06630105433833801,0.12358914,45504721.626666665,10520.274750833334,2870768020.1666665,2848015659.5,2893520381.0,6
183,506.8327096,0.05350275570763912,0.09905885833333333,45513253.91,8432.184318666667,2870764679.3333335,2848008052.3333335,2893521306.3333335,3
184,506.7580534666667,0.08441601995895272,0.1240338415,45506898.958333336,10558.1290505,2870765245.8333335,2848011796.5,2893518695.1666665,6
185,506.77558632,0.08347930572871835,0.11082115740000001,45508391.404,9433.4261272,2870766487.4,2848012291.8,2893520683.0,5
186,506.7878685666667,0.12704057107945393,0.12437601666666666,45509436.905,10587.256008666667,2870764711.0,2848009992.1666665,2893519429.5,6
187,506.8107242,0.09610526624061416,0.1299728495,45511382.445,11063.67506175,2870765952.25,2848010261.0,2893521643.75,4
188,506.79122845,0.0547216085253505,0.12196673783333334,45509722.906666666,10382.1710625,2870763438.1666665,2848008576.8333335,2893518299.8333335,6
189,506.90384048,0.07663378385792272,0.1384714276,45519308.778,11787.0992692,2870763222.6,2848003568.0,2893522876.6,5
190,506.9059093166666,0.09975200357405785,0.15123162633333334,45519484.88666666,12873.285295,2870766499.3333335,2848006757.1666665,2893526242.0,6
191,506.908272125,0.02046612854163227,0.1084428055,45519686.0125,9230.9737525,2870765151.75,2848005308.75,2893524995.0,4
192,506.8639981833333,0.08242068750166183,0.10541497266666666,45515917.28333333,8973.235635833333,2870766925.3333335,2848008966.8333335,2893524884.1666665,6
193,506.77498046666665,0.09658764669202154,0.136184336,45508339.833333336,11592.41526,2870768130.3333335,2848013960.5,2893522300.1666665,6
194,506.8927079,0.11319218824721211,0.1555216265,45518361.14,13238.462855,2870768494.5,2848009313.75,2893527675.25,4
195,506.83439436,0.14860109195278706,0.1943458632,45513397.318,16543.29722,2870763897.6,2848007199.0,2893520596.4,5
196,506.95539775,0.20945166947173088,0.2728710161666667,45523697.48666667,23227.591506666668,2870769183.8333335,2848007335.0,2893531032.3333335,6
197,506.8810166,0.08056807698214792,0.24097245133333334,45517365.94166666,20512.290883333335,2870768858.1666665,2848010175.1666665,2893527541.1666665,6
198,506.918392175,0.07150340584535006,0.1854639545,45520547.464999996,15787.242765,2870768280.0,2848008006.0,2893528553.25,4
199,506.91160813333335,0.09813360665835145,0.11630856833333332,45519969.98499999,9900.5308535,2870768053.8333335,2848008068.8333335,2893528038.6666665,6
200,506.89839345999997,0.07319207198702235,0.1234844796,45518845.116,10511.3657448,2870769406.8,2848009984.0,2893528829.2,5
201,506.89483475,0.14095360388696823,0.144383338,45518542.18333334,12290.338643333334,2870765407.8333335,2848006136.3333335,2893524678.6666665,6
202,506.9381820666667,0.12467769820721666,0.16998195066666666,45522232.04,14469.368616666668,2870767597.6666665,2848006481.6666665,2893528713.6666665,3
203,506.8927376,0.04652245713985004,0.13732317083333334,45518363.669999994,11689.356236666667,2870767376.3333335,2848008194.8333335,2893526558.1666665,6
204,506.9437620833333,0.10171835143167031,0.13645338566666668,45522707.02333333,11615.317539999998,2870768747.1666665,2848007393.6666665,2893530100.6666665,6
205,506.93541346,0.12706497790657145,0.1180731848,45521996.366,10050.7402334,2870767724.6,2848006726.6,2893528723.0,5
206,506.945743225,0.07000855242902546,0.1454011265,45522875.6675,12376.97582625,2870769684.0,2848008246.25,2893531121.75,4
207,506.94872341999996,0.11063873432537766,0.13982146580000002,45523129.35,11902.018528,2870772017.4,2848010452.8,2893533582.0,5
208,506.94473526666667,0.07042188221501114,0.12447416783333333,45522789.865,10595.610939333334,2870771770.5,2848010375.8333335,2893533165.3333335,6
209,506.9396415666667,0.07364326553096522,0.12253798283333334,45522356.27333333,10430.797117666667,2870767088.6666665,2848005910.3333335,2893528267.0,6
210,506.87166545,0.013908807762566927,0.090616712,45516569.942499995,7713.5637325,2870765460.25,2848007175.5,2893523745.25,4
211,506.96971844,0.060102840262285746,0.0781984118,45524916.508,6656.4811199999995,2870769037.0,2848006579.0,2893531495.2,5
212,506.99573792,0.11791215981054928,0.110117358,45527131.362,9373.516638199999,2870770479.0,2848006913.2,2893534044.6,5
213,506.8329023833333,0.08005462275068956,0.08852270166666666,45513270.32,7535.315348166667,2870770525.3333335,2848013890.1666665,2893527160.5,6
214,507.0588238,0.13801278132629466,0.14636199325,45532501.417500004,12458.767660000001,2870768396.25,2848002145.5,2893534647.0,4
215,506.9697002166667,0.10375868477575186,0.16875834550000002,45524914.95333334,14365.211695,2870769779.8333335,2848007322.3333335,2893532237.5,6
216,506.94598554000004,0.13136020582997554,0.1575691212,45522896.292,13412.751683999999,2870767573.4,2848006125.6,2893529021.6,5
217,506.9416647166667,0.06569405188962134,0.152882706,45522528.48833334,13013.830114999999,2870771156.6666665,2848009892.6666665,2893532421.0,6
218,507.050314825,0.09376404383338122,0.12530908425,45531777.1075,10666.681493,2870770036.25,2848004147.5,2893535924.75,4
219,507.0674766,0.09825462500785348,0.1248611718,45533237.972,10628.55384,2870770250.2,2848003631.2,2893536869.2,5
220,507.0199882833333,0.04679154159543121,0.14241192833333333,45529195.626666665,12122.5263955,2870767443.6666665,2848002845.8333335,2893532041.5,6
221,507.05258833999994,0.09525085813334935,0.1358854762,45531970.638,11566.975423200001,2870768059.8,2848002074.4,2893534045.0,5
222,506.9993372,0.13037534857446717,0.1233223322,45527437.742,10497.5632706,2870772927.2,2848009208.2,2893536646.0,5
